orbit,T_panel_K,net_cooling_W_m2,radiated_W_m2,heat_input_W_m2,solar_input_W_m2,earth_ir_W_m2,earth_albedo_W_m2,area_1mw_heat_m2,eclipse_fraction,note
地月 L1,300.0,380.7,780.8,400.1,400.1,0.0,0.0,3940.5,0.02,月球+地球IR均大幅衰减
地月 L2,300.0,380.7,780.8,400.1,400.1,0.0,0.0,3940.4,0.02,月球+地球IR均大幅衰减
"MEO (~20,200 km)",300.0,376.4,780.8,404.4,387.9,14.0,2.5,3984.9,0.05,IR/反照大幅衰减，低食
"GEO (~35,786 km)",300.0,374.7,780.8,406.1,400.1,5.0,1.0,4003.5,0.02,IR/反照可忽略，食极少
地日 L1,300.0,372.5,780.8,408.3,408.3,0.0,0.0,4026.7,0.0,无地球IR/反照，连续日照
地日 L2,300.0,372.5,780.8,408.3,408.3,0.0,0.0,4026.7,0.0,无地球IR/反照，连续日照。JWST 实测: 热侧 85°C / 冷侧 -233°C
地月 L4/L5,300.0,372.5,780.8,408.3,408.3,0.0,0.0,4026.8,0.0,地球IR/反照可忽略，几乎无食
HEO (Molniya),300.0,349.6,780.8,431.2,347.1,33.3,50.8,4290.8,0.15,近地点高IR+反照，远地点可忽略。按近地点主导保守估计
LEO (SSO 600km),300.0,-184.2,780.8,965.0,245.0,240.0,480.0,inf,0.4,高 IR+反照，高频食，散热最受限
地月 L1,350.0,1046.4,1446.5,400.1,400.1,0.0,0.0,1433.5,0.02,月球+地球IR均大幅衰减
地月 L2,350.0,1046.4,1446.5,400.1,400.1,0.0,0.0,1433.5,0.02,月球+地球IR均大幅衰减
"MEO (~20,200 km)",350.0,1042.2,1446.5,404.4,387.9,14.0,2.5,1439.3,0.05,IR/反照大幅衰减，低食
"GEO (~35,786 km)",350.0,1040.4,1446.5,406.1,400.1,5.0,1.0,1441.7,0.02,IR/反照可忽略，食极少
地日 L1,350.0,1038.2,1446.5,408.3,408.3,0.0,0.0,1444.7,0.0,无地球IR/反照，连续日照
地日 L2,350.0,1038.2,1446.5,408.3,408.3,0.0,0.0,1444.7,0.0,无地球IR/反照，连续日照。JWST 实测: 热侧 85°C / 冷侧 -233°C
地月 L4/L5,350.0,1038.2,1446.5,408.3,408.3,0.0,0.0,1444.7,0.0,地球IR/反照可忽略，几乎无食
HEO (Molniya),350.0,1015.3,1446.5,431.2,347.1,33.3,50.8,1477.4,0.15,近地点高IR+反照，远地点可忽略。按近地点主导保守估计
LEO (SSO 600km),350.0,481.6,1446.5,965.0,245.0,240.0,480.0,3114.8,0.4,高 IR+反照，高频食，散热最受限
